,Unnamed: 0,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,left,low,medium,IT,RandD,accounting,hr,management,marketing,product_mng,sales,support,technical
61,61,0.82,0.65,4,148,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,62,0.72,0.94,4,240,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
63,63,0.77,0.78,3,269,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
64,64,0.86,0.91,4,147,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
65,65,0.15,0.97,3,198,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
66,66,0.81,0.99,5,143,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
67,67,0.93,0.98,3,238,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
68,68,0.62,0.74,4,213,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
69,69,0.53,0.81,3,226,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
70,70,0.86,0.99,3,169,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
71,71,0.92,0.65,4,238,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72,72,0.97,0.83,4,202,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73,73,0.39,0.78,2,205,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74,74,0.45,0.66,3,111,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75,75,0.41,0.47,4,104,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
76,76,0.51,0.69,3,212,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
77,77,0.74,0.62,4,236,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
78,78,0.69,0.57,5,245,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
79,79,0.84,0.64,4,267,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
80,80,0.69,0.66,5,106,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
81,81,0.93,0.53,5,198,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
82,82,0.33,0.45,6,239,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
83,83,0.25,0.65,5,220,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
84,84,0.63,0.59,5,224,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
85,85,0.81,0.62,3,100,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
86,86,0.12,0.87,4,244,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
87,87,0.52,0.66,4,139,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
88,88,0.57,0.51,2,152,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
89,89,0.84,0.58,4,208,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
90,90,0.6,0.95,5,205,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
91,91,0.73,0.44,2,194,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
92,92,0.2,0.58,3,209,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
93,93,0.58,0.9,3,212,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
94,94,0.48,0.56,2,151,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
95,95,0.54,0.67,4,282,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
96,96,0.86,1.0,4,256,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
97,97,0.94,0.83,2,185,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
98,98,0.76,0.74,5,132,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
99,99,0.61,0.95,5,233,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
100,100,0.56,0.94,4,215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,101,1.0,0.74,3,220,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
102,102,0.15,0.53,6,222,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
103,103,0.19,0.58,5,182,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
104,104,0.17,0.73,5,258,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
105,105,0.71,0.57,3,209,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
106,106,0.86,0.79,3,242,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
107,107,0.59,0.88,4,155,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
108,108,0.74,0.76,5,104,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
109,109,0.98,0.92,4,201,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
110,110,0.93,0.75,5,143,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
111,111,1.0,0.92,5,161,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
112,112,0.59,0.81,4,200,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
113,113,0.98,0.55,4,255,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
114,114,0.35,0.5,5,227,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
115,115,0.42,0.96,3,270,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
116,116,0.61,0.85,5,230,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
117,117,0.78,0.72,5,270,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
118,118,0.93,0.52,4,200,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
119,119,0.5,0.95,5,207,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
120,120,0.67,0.51,5,182,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
121,121,0.75,0.85,4,234,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
122,122,0.79,0.51,4,237,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
123,123,0.84,0.89,4,187,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
124,124,0.72,0.5,3,257,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
125,125,0.57,0.48,2,194,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
126,126,0.73,0.52,4,162,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
127,127,0.74,0.58,4,148,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
128,128,0.52,0.83,4,210,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
129,129,0.56,0.76,3,213,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
130,130,0.76,0.68,4,189,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
131,131,0.82,0.93,4,185,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
132,132,0.76,0.83,3,186,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
133,133,0.62,0.59,3,128,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
134,134,0.48,0.8,4,268,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
135,135,0.64,0.77,3,213,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
136,136,0.74,0.82,4,142,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
137,137,0.52,0.43,2,199,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
138,138,0.67,0.5,4,157,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
139,139,0.71,0.76,5,172,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,140,0.72,0.63,3,176,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
141,141,0.33,0.58,2,183,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
142,142,0.91,0.56,4,270,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
143,143,0.88,0.68,5,157,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
144,144,0.96,0.6,4,185,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
145,145,0.97,0.68,3,167,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
146,146,0.27,0.59,5,226,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
147,147,0.65,0.64,3,223,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
148,148,0.68,0.73,3,257,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
149,149,0.68,0.46,4,143,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
150,150,0.69,0.74,3,215,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
151,151,0.79,0.99,3,194,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
152,152,0.74,0.92,5,193,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
153,153,0.8,0.83,3,163,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
154,154,0.38,0.94,5,252,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
155,155,0.26,0.83,3,168,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
156,156,0.81,0.86,3,231,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
157,157,0.67,0.54,2,141,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
158,158,0.55,0.81,4,260,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
159,159,0.87,0.71,3,132,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
160,160,0.46,0.69,2,159,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
161,161,0.63,0.57,4,177,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
162,162,0.54,0.96,4,248,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
163,163,1.0,0.49,3,185,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
164,164,0.97,0.66,4,149,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
165,165,0.9,0.92,3,152,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
166,166,0.75,0.7,3,129,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
167,167,0.92,0.84,4,208,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
168,168,0.8,0.94,4,136,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
169,169,0.57,0.81,3,142,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
170,170,0.81,0.94,3,225,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
171,171,0.64,0.6,3,143,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
172,172,0.71,0.54,4,215,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
173,173,0.35,0.58,3,229,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
174,174,0.88,0.81,5,193,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
175,175,0.13,0.59,5,160,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
176,176,0.82,0.73,4,195,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
177,177,0.17,0.92,4,189,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
178,178,0.21,0.82,4,207,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,179,0.89,0.47,4,108,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
180,180,0.2,0.72,6,224,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
181,181,0.99,0.81,5,180,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
182,182,0.26,0.85,6,152,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
183,183,0.22,0.53,4,244,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
184,184,0.79,0.84,3,176,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
185,185,0.73,0.79,4,145,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
186,186,0.83,0.54,3,149,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
187,187,0.42,0.54,3,122,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
188,188,0.18,0.8,2,110,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
189,189,0.92,0.91,4,222,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
190,190,0.87,0.52,3,237,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
191,191,0.72,0.65,4,224,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
192,192,0.64,0.58,5,115,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
193,193,1.0,0.66,4,180,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
194,194,0.83,0.65,4,162,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
195,195,0.98,0.58,4,136,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
196,196,0.7,0.87,3,260,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
197,197,0.9,0.79,4,150,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
198,198,0.55,0.99,4,248,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
199,199,0.78,0.84,3,233,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
200,200,0.89,0.53,5,272,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
201,201,0.17,0.59,3,197,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
202,202,0.14,0.64,5,164,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
203,203,0.85,0.57,4,216,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
204,204,0.84,0.79,4,266,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
205,205,0.7,0.69,3,102,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
206,206,0.16,0.98,5,284,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
207,207,0.51,0.69,3,145,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
208,208,0.6,0.89,3,167,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
209,209,0.5,0.63,3,172,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
210,210,0.43,0.39,5,198,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
211,211,0.5,0.7,4,201,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
212,212,0.91,0.89,4,197,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
213,213,0.65,0.93,4,270,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
214,214,0.59,0.52,2,149,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
215,215,0.89,0.56,3,256,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
216,216,0.97,0.6,3,162,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
217,217,0.56,0.97,5,163,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
218,218,0.76,0.93,3,266,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
219,219,0.28,0.55,4,208,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
220,220,0.75,0.51,4,138,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
221,221,0.78,0.81,4,232,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
222,222,0.26,0.63,6,100,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
223,223,0.53,0.72,2,172,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
224,224,0.25,0.41,3,133,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
225,225,0.82,0.51,3,234,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
226,226,0.71,0.57,2,183,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
227,227,0.61,0.95,4,174,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
228,228,0.89,0.68,3,175,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
229,229,0.57,0.78,3,109,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
230,230,0.93,0.8,4,248,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
231,231,0.61,0.84,5,104,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
232,232,0.56,0.62,3,154,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
233,233,0.7,0.89,6,214,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
234,234,0.9,0.64,4,209,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
235,235,0.15,0.74,6,212,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
236,236,0.39,0.36,3,168,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
237,237,0.74,0.72,4,176,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
238,238,0.7,0.61,4,163,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
239,239,0.72,0.93,4,148,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
240,240,0.61,0.97,3,137,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
241,241,0.96,1.0,5,162,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
242,242,0.7,0.59,4,216,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
243,243,0.92,0.49,3,240,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
244,244,0.72,0.56,4,176,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
245,245,0.53,0.75,6,192,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
246,246,0.67,0.85,3,160,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
247,247,0.78,0.8,4,194,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
248,248,0.53,0.75,4,239,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
249,249,0.9,0.48,4,204,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
250,250,0.16,0.9,5,258,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
251,251,0.62,0.38,3,257,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
252,252,0.62,0.98,4,137,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
253,253,0.22,0.52,6,175,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
254,254,0.91,0.82,3,183,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
255,255,0.87,0.74,4,190,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
256,256,0.95,0.69,3,225,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
257,257,0.99,0.75,3,215,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
258,258,0.99,0.57,3,176,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
259,259,0.77,0.99,4,153,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
260,260,0.75,0.68,3,150,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
261,261,0.83,0.54,4,259,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
262,262,0.61,0.39,3,99,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
263,263,0.91,0.97,3,167,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
264,264,0.47,0.64,3,192,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
265,265,0.77,0.61,5,146,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
266,266,0.55,0.51,3,190,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
267,267,0.32,0.48,5,246,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
268,268,0.96,0.67,6,190,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
269,269,0.72,0.79,5,260,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
270,270,0.8,0.9,4,136,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
271,271,0.61,0.55,4,231,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
272,272,0.97,0.88,3,204,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
273,273,0.63,0.93,4,201,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
274,274,0.92,0.92,3,159,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
275,275,0.94,0.74,5,171,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
276,276,0.79,0.72,6,240,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
277,277,0.75,0.73,2,152,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
278,278,0.78,0.99,3,151,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
279,279,0.96,0.45,6,232,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
280,280,0.65,0.68,4,128,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
281,281,0.18,0.94,3,187,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
282,282,0.94,0.51,3,160,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
283,283,0.84,0.79,4,259,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
284,284,0.67,0.54,2,136,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
285,285,0.71,0.5,4,253,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
286,286,0.56,0.64,3,260,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
