,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,low,medium,IT,RandD,accounting,hr,management,marketing,product_mng,sales,support,technical
1373,0.85,0.86,3,255,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2884,0.66,0.91,5,199,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0
11400,0.55,0.81,3,239,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5125,0.56,0.51,5,256,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2991,0.79,0.82,3,98,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0
5549,0.18,0.73,6,225,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10530,0.96,0.82,4,244,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14866,0.77,1.0,4,232,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3461,0.56,0.93,4,210,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3024,0.61,0.73,3,165,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
251,0.62,0.38,3,257,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13351,0.59,1.0,2,155,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12858,0.43,0.52,2,156,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8500,0.62,0.77,3,225,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1
932,0.22,0.44,3,166,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10024,0.2,0.97,4,237,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8893,0.59,0.97,5,179,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5692,0.36,0.77,4,252,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12986,0.14,0.61,6,291,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14109,0.4,0.49,2,128,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9263,0.98,0.98,4,170,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3251,0.5,0.5,4,267,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10509,0.94,0.49,4,176,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3599,0.2,0.41,6,264,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14602,0.45,0.55,2,148,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6987,0.89,1.0,4,226,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
6105,0.58,0.85,4,162,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2214,0.86,0.48,4,153,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2216,0.25,0.82,3,269,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13876,0.36,0.48,2,159,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2859,0.92,0.49,5,259,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0
4921,0.15,0.67,5,249,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2760,0.7,0.55,3,253,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
3289,0.8,0.85,3,135,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14333,0.75,1.0,4,216,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2626,0.49,0.79,4,158,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13223,0.85,0.96,4,217,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4935,0.91,0.55,3,223,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3429,0.57,0.61,5,191,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6248,0.97,0.86,5,222,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11450,0.09,0.95,6,304,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8454,0.55,0.93,4,251,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0
12518,0.38,0.54,2,150,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
7791,0.78,0.63,4,181,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11751,0.11,0.91,7,287,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9199,0.84,0.85,4,207,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14614,0.92,0.93,5,240,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2678,0.49,0.77,2,254,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3707,0.56,0.55,3,250,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
14689,0.76,0.83,5,227,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2805,0.49,0.61,3,148,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1453,0.8,0.94,4,200,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14420,0.38,0.52,2,153,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8396,0.66,0.95,5,206,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2319,0.51,0.95,4,201,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5781,0.89,0.84,5,168,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
13733,0.45,0.47,2,135,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11498,0.74,0.99,2,277,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12294,0.41,0.46,2,128,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2288,0.53,0.72,3,228,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9839,0.49,0.62,4,161,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
13617,0.44,0.51,2,156,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7563,0.19,0.73,4,231,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1713,0.98,0.77,5,223,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0
11213,0.53,0.91,4,167,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14598,0.1,0.97,6,247,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6045,0.64,0.83,4,179,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6909,0.68,0.85,3,250,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12593,0.1,0.96,6,303,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5220,0.8,0.94,3,150,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3668,0.77,0.55,3,225,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14185,0.38,0.55,2,151,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6699,0.65,0.66,6,240,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5999,0.85,0.55,3,226,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0
13531,0.09,0.94,7,267,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5012,0.76,0.84,5,137,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12898,0.45,0.51,2,155,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0
14564,0.43,0.57,2,135,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1489,0.86,0.93,2,260,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1606,0.58,0.62,3,169,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8593,0.61,0.67,4,151,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4519,0.91,0.76,3,159,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1402,0.55,0.79,3,162,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9386,0.92,0.6,4,161,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14178,0.38,0.49,2,145,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8793,0.61,0.56,4,176,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1006,0.84,0.85,3,153,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2791,0.66,0.95,4,183,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2704,0.56,0.76,3,134,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12071,0.37,0.47,2,148,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
13839,0.84,0.99,4,262,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0
7038,0.84,0.65,4,264,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12286,0.74,1.0,4,253,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7336,0.97,0.66,4,218,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2357,0.58,0.93,5,235,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11958,0.4,0.56,2,137,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
290,0.81,0.82,4,167,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11286,0.53,0.64,3,168,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7852,0.68,0.63,5,185,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3595,0.69,0.75,3,179,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11024,0.59,0.59,4,197,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0
88,0.57,0.51,2,152,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
14920,0.87,0.91,5,228,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2232,0.82,0.92,3,187,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0
3325,0.79,0.54,4,244,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14335,0.46,0.49,2,138,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6247,0.99,0.65,3,209,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0
12585,0.42,0.52,2,141,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0
11626,0.1,0.89,7,285,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8390,0.59,0.61,3,210,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9027,0.57,0.72,4,214,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1056,0.48,0.54,2,144,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
903,0.3,0.7,5,280,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0
14077,0.46,0.5,2,156,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8668,0.65,0.88,4,173,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2039,0.89,0.73,4,171,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1611,0.6,0.99,4,225,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5775,0.67,0.94,2,192,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
736,0.74,0.64,4,101,6,1,0,1,0,1,0,0,0,0,0,0,0,0,0
14331,0.14,0.62,4,158,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4878,0.74,0.8,3,219,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4123,0.86,0.92,3,260,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4130,0.5,0.7,4,162,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8242,0.51,0.51,2,271,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6418,0.54,0.48,3,275,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2864,0.91,0.99,3,188,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0
12503,0.74,0.89,4,267,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1418,0.36,0.55,6,226,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0
3323,0.62,0.64,5,150,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4147,0.99,0.97,5,229,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13642,0.4,0.53,2,151,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10447,0.78,0.96,2,285,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1010,0.62,0.89,3,153,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0
4096,0.93,0.73,4,168,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
8422,0.62,0.89,4,254,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
6605,0.48,0.43,3,96,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14952,0.44,0.52,2,149,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12702,0.45,0.53,2,131,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14354,0.37,0.47,2,152,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14836,0.78,0.98,5,263,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14568,0.37,0.54,2,149,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8466,0.78,0.6,3,232,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9967,0.82,0.82,3,148,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3366,0.89,0.93,4,245,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10836,0.69,0.59,4,264,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11527,0.9,1.0,5,221,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12064,0.44,0.53,2,140,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11360,0.82,0.84,3,194,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8045,0.78,0.63,4,158,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1385,0.79,0.55,3,147,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11004,0.97,0.51,5,215,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4871,0.51,0.8,3,254,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0
735,0.66,0.86,5,185,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
13043,0.1,0.93,6,307,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12793,0.1,0.83,6,293,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13431,0.72,0.87,5,223,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2858,0.63,0.66,4,157,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
9895,0.6,0.42,2,109,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9049,0.65,0.83,4,251,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10715,0.97,0.41,5,135,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3656,0.72,0.71,5,248,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14163,0.83,0.99,5,258,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0
884,0.75,0.78,2,251,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12827,0.11,0.86,6,299,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0
5815,0.98,0.69,3,274,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
11183,0.88,0.6,4,208,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2417,0.82,0.78,5,231,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
11492,0.11,0.94,6,286,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14353,0.11,0.8,6,256,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0
10399,0.8,0.8,4,263,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5931,0.42,0.48,5,191,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2919,0.55,0.93,3,217,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
12920,0.38,0.55,2,160,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9239,0.82,0.85,3,214,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6521,0.95,0.58,5,169,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8977,0.16,0.61,4,171,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3989,0.43,0.46,4,169,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9775,0.66,0.72,4,271,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11623,0.09,0.8,6,304,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12391,0.37,0.51,2,140,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10215,0.67,0.6,5,253,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4400,0.54,0.67,3,243,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10803,1.0,0.93,5,167,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6945,0.95,0.96,4,244,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1522,0.74,0.89,3,160,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5278,0.5,0.64,5,195,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2562,0.57,0.76,3,195,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2128,0.47,0.62,6,171,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1086,0.57,0.56,4,113,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1962,0.64,0.5,6,254,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8617,0.66,0.56,4,185,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14989,0.43,0.57,2,159,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4546,0.85,0.65,3,187,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3065,0.97,0.66,4,193,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4075,0.78,0.74,6,251,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14479,0.38,0.56,2,156,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11159,0.77,0.82,4,134,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0
10192,0.94,0.52,4,217,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0
9599,0.64,0.67,2,223,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11567,0.73,0.87,5,257,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14427,0.36,0.48,2,158,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1346,0.75,0.68,4,220,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5736,0.82,0.65,4,168,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6174,0.63,0.85,5,214,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8452,0.76,0.63,3,198,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1121,0.66,0.76,3,155,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1533,0.66,0.48,4,229,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2943,0.55,0.65,3,207,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12395,0.85,0.92,4,275,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10045,0.66,0.56,4,185,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3635,0.24,0.79,2,175,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
6886,0.62,0.87,3,151,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0
3613,1.0,0.54,3,151,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
12044,0.39,0.49,2,144,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4696,0.77,0.9,4,163,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4097,0.62,0.7,5,180,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1632,0.35,0.66,2,140,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14660,0.81,0.92,5,239,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8231,0.58,0.89,3,256,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5381,0.71,0.56,3,177,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7053,0.58,0.81,4,266,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11396,0.8,0.8,4,146,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
13635,0.78,0.87,4,228,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3014,0.92,1.0,3,212,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12159,0.79,0.94,4,232,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5640,0.87,0.64,2,148,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0
7728,0.13,0.94,4,213,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0
7773,0.83,0.74,4,233,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
14378,0.31,0.54,5,132,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0
99,0.61,0.95,5,233,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12544,0.09,0.85,6,260,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5038,0.96,0.93,3,156,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14314,0.09,0.94,7,267,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10870,0.59,0.81,4,189,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8372,0.78,0.91,3,166,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1035,0.34,0.82,6,197,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1
9354,0.62,0.97,2,271,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1744,0.89,0.79,5,257,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13437,0.42,0.53,2,142,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6904,0.94,0.49,2,250,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12872,0.41,0.48,2,141,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3447,0.5,0.75,5,179,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1586,0.84,0.85,4,246,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8899,0.89,0.91,3,233,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4739,0.74,0.77,4,206,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13238,0.43,0.48,2,157,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5025,0.93,1.0,4,145,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
286,0.56,0.64,3,260,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6664,0.5,0.87,5,245,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11580,0.37,0.52,2,143,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0
6580,0.84,0.95,5,199,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6932,0.74,0.88,5,183,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0
12061,0.38,0.56,2,154,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4464,0.67,0.97,5,239,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1623,0.52,0.92,3,150,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
8146,0.49,0.52,3,168,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
